category,week_end,amount_weekly
transportation,2015-08-03,0.0
transportation,2015-08-10,0.0
transportation,2015-08-17,0.0
transportation,2015-08-24,0.0
transportation,2015-08-31,0.0
transportation,2015-09-07,0.0
transportation,2015-09-14,0.0
transportation,2015-09-21,0.0
transportation,2015-09-28,0.0
transportation,2015-10-05,0.0
transportation,2015-10-12,0.0
transportation,2015-10-19,803.0
transportation,2015-10-26,20.0
transportation,2015-11-02,1606.0
transportation,2015-11-09,0.0
transportation,2015-11-16,0.0
transportation,2015-11-23,0.0
transportation,2015-11-30,120.0
transportation,2015-12-07,0.0
transportation,2015-12-14,0.0
transportation,2015-12-21,0.0
transportation,2015-12-28,0.0
transportation,2016-01-04,0.0
transportation,2016-01-11,0.0
transportation,2016-01-18,0.0
transportation,2016-01-25,0.0
transportation,2016-02-01,0.0
transportation,2016-02-08,0.0
transportation,2016-02-15,40.0
transportation,2016-02-22,0.0
transportation,2016-02-29,0.0
transportation,2016-03-07,0.0
transportation,2016-03-14,0.0
transportation,2016-03-21,0.0
transportation,2016-03-28,0.0
transportation,2016-04-04,0.0
transportation,2016-04-11,0.0
transportation,2016-04-18,0.0
transportation,2016-04-25,0.0
transportation,2016-05-02,0.0
transportation,2016-05-09,0.0
transportation,2016-05-16,0.0
transportation,2016-05-23,40.0
transportation,2016-05-30,0.0
transportation,2016-06-06,50.0
transportation,2016-06-13,0.0
transportation,2016-06-20,0.0
transportation,2016-06-27,3200.0
transportation,2016-07-04,0.0
transportation,2016-07-11,0.0
transportation,2016-07-18,0.0
transportation,2016-07-25,0.0
transportation,2016-08-01,0.0
transportation,2016-08-08,0.0
transportation,2016-08-15,0.0
transportation,2016-08-22,0.0
transportation,2016-08-29,0.0
transportation,2016-09-05,0.0
transportation,2016-09-12,0.0
transportation,2016-09-19,0.0
transportation,2016-09-26,0.0
transportation,2016-10-03,0.0
transportation,2016-10-10,0.0
transportation,2016-10-17,0.0
transportation,2016-10-24,0.0
transportation,2016-10-31,40.0
transportation,2016-11-07,0.0
transportation,2016-11-14,6462.0
transportation,2016-11-21,1066.0
transportation,2016-11-28,0.0
transportation,2016-12-05,0.0
transportation,2016-12-12,0.0
transportation,2016-12-19,0.0
transportation,2016-12-26,2163.6
transportation,2017-01-02,503.0
transportation,2017-01-09,0.0
transportation,2017-01-16,40.0
transportation,2017-01-23,0.0
transportation,2017-01-30,570.0
transportation,2017-02-06,0.0
transportation,2017-02-13,0.0
transportation,2017-02-20,0.0
transportation,2017-02-27,5650.0
transportation,2017-03-06,319.0
transportation,2017-03-13,0.0
transportation,2017-03-20,0.0
transportation,2017-03-27,1671.0
transportation,2017-04-03,180.0
transportation,2017-04-10,0.0
transportation,2017-04-17,0.0
transportation,2017-04-24,30.0
transportation,2017-05-01,90.0
transportation,2017-05-08,0.0
transportation,2017-05-15,0.0
transportation,2017-05-22,80.0
transportation,2017-05-29,45.0
transportation,2017-06-05,140.0
transportation,2017-06-12,0.0
transportation,2017-06-19,27.0
transportation,2017-06-26,60.0
transportation,2017-07-03,110.0
transportation,2017-07-10,0.0
transportation,2017-07-17,70.0
transportation,2017-07-24,0.0
transportation,2017-07-31,1157.0
transportation,2017-08-07,0.0
transportation,2017-08-14,0.0
transportation,2017-08-21,536.0
transportation,2017-08-28,1090.0
transportation,2017-09-04,640.0
transportation,2017-09-11,0.0
transportation,2017-09-18,1400.0
transportation,2017-09-25,85.0
transportation,2017-10-02,2388.0
transportation,2017-10-09,0.0
transportation,2017-10-16,0.0
transportation,2017-10-23,2614.0
transportation,2017-10-30,90.0
transportation,2017-11-06,0.0
transportation,2017-11-13,0.0
transportation,2017-11-20,80.0
transportation,2017-11-27,155.0
transportation,2017-12-04,0.0
transportation,2017-12-11,0.0
transportation,2017-12-18,90.0
transportation,2017-12-25,120.0
transportation,2018-01-01,0.0
transportation,2018-01-08,0.0
transportation,2018-01-15,279.2451486841834
transportation,2018-01-22,29770.271714731705
transportation,2018-01-29,25623.27286486958
transportation,2018-02-05,29.770271714731706
transportation,2018-02-12,0.0
transportation,2018-02-19,20.0
transportation,2018-02-26,443.0
transportation,2018-03-05,0.0
transportation,2018-03-12,0.0
transportation,2018-03-19,30.0
transportation,2018-03-26,10.0
transportation,2018-04-02,40.0
transportation,2018-04-09,0.0
transportation,2018-04-16,30.0
transportation,2018-04-23,0.0
transportation,2018-04-30,0.0
transportation,2018-05-07,0.0
transportation,2018-05-14,130.0
transportation,2018-05-21,80.0
transportation,2018-05-28,50.0
transportation,2018-06-04,0.0
transportation,2018-06-11,0.0
transportation,2018-06-18,1213.6
transportation,2018-06-25,100.0
transportation,2018-07-02,413.0
transportation,2018-07-09,0.0
transportation,2018-07-16,188.0
transportation,2018-07-23,155.0
transportation,2018-07-30,105.0
transportation,2018-08-06,0.0
transportation,2018-08-13,0.0
transportation,2018-08-20,0.0
transportation,2018-08-27,2510.8
transportation,2018-09-03,0.0
transportation,2018-09-10,0.0
transportation,2018-09-17,90.0
transportation,2018-09-24,30.0
utilities,2015-03-23,20.0
utilities,2015-03-30,20.0
